"","AGI","CV","geom_mean"
"1","AT1G01010",0.928815831953944,108.161161576781
"2","AT1G01020",0.342630907047441,215.610965033782
"3","AT1G01030",1.29327640513773,93.7194599613522
"4","AT1G01040",0.308903676125262,985.089706258452
"5","AT1G01046",0.522112343742523,11.822659826735
"6","AT1G01050",0.281513686773426,1009.19661025483
"7","AT1G01060",0.971158671011678,1628.59321385009
"8","AT1G01070",0.828812738862318,51.3955908512855
"9","AT1G01080",0.456236472231191,812.149462043333
"10","AT1G01090",0.372823253726637,2542.30901072854
"11","AT1G01100",0.811091902852086,1700.78606172094
"13","AT1G01120",0.983958249112806,767.938302294256
"15","AT1G01140",0.610307434932771,2218.45775076053
"17","AT1G01160",0.590817003806262,242.025923800102
"18","AT1G01170",0.793678475969175,367.682842981336
"19","AT1G01180",0.72592181563865,86.846177341155
"23","AT1G01210",0.338067411241578,138.12788131317
"24","AT1G01220",0.337982118477677,368.669183794969
"25","AT1G01225",0.409358860867395,20.3081700486929
"26","AT1G01230",0.460196604654718,234.483542037126
"27","AT1G01240",1.41292747247214,375.926370040624
"28","AT1G01250",0.688142195158221,67.6524533317655
"29","AT1G01260",0.903563962372693,245.799151084236
"32","AT1G01290",0.333240903923585,136.503254440573
"33","AT1G01300",1.4620403726161,311.621684703792
"36","AT1G01320",0.399990841757631,7644.28469042771
"38","AT1G01340",0.89877737573237,66.4149748120204
"39","AT1G01350",0.507424119461834,265.611468856312
"41","AT1G01360",0.778136560986536,350.923764253395
"42","AT1G01370",0.524451185522679,16.6941315539759
"43","AT1G01380",0.432677570260878,11.7947749492811
"47","AT1G01420",0.803415524556992,193.429097495814
"48","AT1G01430",0.60232117123597,484.051639552371
"49","AT1G01440",0.448328625489764,279.858774854172
"50","AT1G01448",0.783215630828111,59.3650132378487
"54","AT1G01470",1.25962203998872,4964.03466168068
"56","AT1G01490",0.465834217816844,884.1016374731
"57","AT1G01500",0.931782389609036,262.552481956864
"58","AT1G01510",0.321877988091246,385.23323591155
"59","AT1G01520",1.28568948072619,154.076155270166
"61","AT1G01540",0.482160943104157,1194.41112582552
"62","AT1G01550",0.331693199187154,2071.54587894882
"63","AT1G01560",1.39750610339073,55.848749771828
"64","AT1G01570",0.643057123549962,21.1356066248104
"65","AT1G01580",1.04494240955032,75.9847497692535
"67","AT1G01600",1.38485364570065,9.80264722275838
"68","AT1G01610",0.515225431014748,756.501846117312
"69","AT1G01620",0.901399559738391,3921.87031505121
"70","AT1G01630",0.323517833262009,479.177252667844
"71","AT1G01640",0.884390688233828,22.052034782637
"72","AT1G01650",0.846264510137913,940.540148539764
"73","AT1G01660",0.526413127821317,13.0608179325277
"74","AT1G01670",0.535686577829825,21.7427475899004
"76","AT1G01690",0.466748713490373,20.9564967188558
"78","AT1G01700",0.485201205366796,24.9619273431436
"79","AT1G01710",0.334215458251613,635.223905594807
"80","AT1G01715",1.16478516013628,40.4666946084574
"81","AT1G01720",1.76039870281074,1123.60727481468
"82","AT1G01725",0.946285510578289,150.394385971538
"83","AT1G01730",1.10710954312477,222.942607089039
"84","AT1G01740",0.687745988689014,94.0122488563184
"86","AT1G01760",0.303911721360852,45.1776954087692
"87","AT1G01770",1.83172609344352,413.173597017618
"88","AT1G01780",2.26769386207512,96.7382872325581
