"","AGI","CV","geom_mean"
"1","AT1G01010",1.05598017002323,96.8526497933125
"2","AT1G01020",0.453250333382368,230.838926970754
"4","AT1G01040",0.355888557689862,1009.40023285192
"6","AT1G01050",0.390265703242617,1418.77547525184
"10","AT1G01090",0.587967421399045,4209.63730805473
"11","AT1G01100",0.910248682534223,6350.92887547304
"13","AT1G01120",1.19442528613743,775.617173200275
"15","AT1G01140",0.931019744850847,824.032178462826
"17","AT1G01160",0.524864975184199,614.325378407459
"23","AT1G01210",0.646310493341549,234.678412469973
"24","AT1G01220",0.420001804676138,521.622984802497
"26","AT1G01230",0.507977268789381,580.288536819373
"27","AT1G01240",1.93575499488115,454.160615815465
"29","AT1G01260",0.481392459367781,612.537121651735
"32","AT1G01290",0.287361096041437,314.358024343426
"36","AT1G01320",0.801883788061569,4356.03118424591
"39","AT1G01350",0.669682775200733,483.193895175524
"41","AT1G01360",1.39758800053034,323.204513400498
"42","AT1G01370",0.910197598554968,131.614024447136
"48","AT1G01430",0.896428018806236,637.384762062241
"49","AT1G01440",0.619913155630575,411.051024778979
"50","AT1G01448",0.565733053980604,111.694745943185
"54","AT1G01470",2.31544696086734,465.024572016772
"56","AT1G01490",0.946145769570953,577.359636275149
"57","AT1G01500",5.6298933953043,363.982132712838
"58","AT1G01510",0.395788442216605,1055.69049153647
"61","AT1G01540",0.456479804442433,1217.14412883579
"62","AT1G01550",0.917602945652486,2727.038475069
"64","AT1G01570",2.74578710785519,59.2914711176148
"67","AT1G01600",2.39551542055042,168.556784193776
"69","AT1G01620",0.706989215671274,4689.07885545026
"71","AT1G01640",1.28189410692003,53.6550118697357
"72","AT1G01650",0.70787469493089,1284.75338540634
"76","AT1G01690",0.740393214453466,195.268631572468
"79","AT1G01710",0.427981798503065,760.393522208031
"81","AT1G01720",3.71167607347991,708.342774673919
"82","AT1G01725",0.934068586988745,192.14228935578
"86","AT1G01760",0.401339131991194,77.4827640547143
"87","AT1G01770",1.03760574871145,446.986147939124
"88","AT1G01780",6.3988026852198,180.133630296123
"89","AT1G01790",0.933358778918582,1307.87708359246
"90","AT1G01800",0.394230683465695,813.474183665654
"92","AT1G01820",0.518864431804234,1104.05646191894
"95","AT1G01860",0.539300190243272,150.326799894915
"97","AT1G01880",4.49916266964862,138.343335059585
"100","AT1G01910",0.216749093211381,1361.41382177451
